"ID";"Name";"NumberOfPersons";"global_id";"Year";"Month";
"Код";"Имя";"Количество человек";"global_id";"Год";"Месяц";
"1";"Александр";"253";"37750243";"2015";"январь";
"2";"Михаил";"247";"37750244";"2015";"январь";
"3";"Иван";"226";"37750245";"2015";"январь";
"4";"Максим";"208";"37750246";"2015";"январь";
"5";"Артём";"190";"37750247";"2015";"январь";
"6";"Даниил";"171";"62361364";"2015";"январь";
"7";"Дмитрий";"164";"62361365";"2015";"январь";
"8";"Кирилл";"151";"62361366";"2015";"январь";
"9";"Андрей";"130";"62361367";"2015";"январь";
"10";"Егор";"126";"62361368";"2015";"январь";
"11";"Илья";"122";"62361369";"2015";"январь";
"12";"Алексей";"108";"62361370";"2015";"январь";
"13";"Владимир";"107";"62361371";"2015";"январь";
"14";"Матвей";"102";"62361372";"2015";"январь";
"15";"Тимофей";"102";"62361373";"2015";"январь";
"16";"Ярослав";"91";"62361374";"2015";"январь";
"17";"Роман";"90";"62361375";"2015";"январь";
"18";"Фёдор";"87";"62361376";"2015";"январь";
"19";"Никита";"87";"62361377";"2015";"январь";
"20";"Марк";"85";"62361378";"2015";"январь";
"21";"Сергей";"84";"62361379";"2015";"январь";
"22";"Николай";"70";"62361380";"2015";"январь";
"23";"Владислав";"63";"62361381";"2015";"январь";
"24";"Степан";"61";"62361382";"2015";"январь";
"25";"Глеб";"57";"62361383";"2015";"январь";
"26";"Лев";"51";"62361384";"2015";"январь";
"27";"Павел";"51";"62361385";"2015";"январь";
"28";"Евгений";"50";"62361387";"2015";"январь";
"29";"Арсений";"49";"62361388";"2015";"январь";
"30";"Константин";"49";"62361389";"2015";"январь";
"31";"Георгий";"48";"62361390";"2015";"январь";
"32";"Григорий";"46";"62361392";"2015";"январь";
"33";"Тимур";"44";"62361393";"2015";"январь";
"34";"Макар";"40";"62361394";"2015";"январь";
"35";"Игорь";"39";"62361396";"2015";"январь";
"36";"Руслан";"36";"62361397";"2015";"январь";
"37";"Пётр";"36";"62361398";"2015";"январь";
"38";"Виктор";"35";"62361400";"2015";"январь";
"39";"Денис";"35";"62361401";"2015";"январь";
"40";"Семён";"34";"62361402";"2015";"январь";
"41";"Платон";"33";"62361404";"2015";"январь";
"42";"Артемий";"32";"62361405";"2015";"январь";
"43";"Богдан";"31";"62361406";"2015";"январь";
"44";"Василий";"30";"62361407";"2015";"январь";
"45";"Юрий";"30";"62361409";"2015";"январь";
"46";"Давид";"29";"62361410";"2015";"январь";
